TITLE;
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/06/08
TIME;16:23:53
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  300,0000
NPOINTS;     501
FIRSTY;     0,03021
MAXY;     0,22860
MINY;     0,03021
XYDATA
800,0000;0,0302149
799,0000;0,0303973
798,0000;0,0305884
797,0000;0,0307799
796,0000;0,0309601
795,0000;0,0311453
794,0000;0,0313423
793,0000;0,0315398
792,0000;0,0317346
791,0000;0,0319205
790,0000;0,0321196
789,0000;0,0323225
788,0000;0,0325209
787,0000;0,0327166
786,0000;0,0329175
785,0000;0,0331246
784,0000;0,0333304
783,0000;0,0335295
782,0000;0,0337295
781,0000;0,0339293
780,0000;0,0341194
779,0000;0,0343049
778,0000;0,0344937
777,0000;0,0346746
776,0000;0,0348564
775,0000;0,0350415
774,0000;0,0352272
773,0000;0,0354028
772,0000;0,035581
771,0000;0,0357656
770,0000;0,0359398
769,0000;0,0361049
768,0000;0,036278
767,0000;0,0364427
766,0000;0,0365971
765,0000;0,036757
764,0000;0,036919
763,0000;0,0370694
762,0000;0,0372258
761,0000;0,0373915
760,0000;0,0375433
759,0000;0,037704
758,0000;0,0378681
757,0000;0,0380249
756,0000;0,0381882
755,0000;0,0383572
754,0000;0,038527
753,0000;0,0387011
752,0000;0,0388863
751,0000;0,0390662
750,0000;0,0392589
749,0000;0,0394676
748,0000;0,0396777
747,0000;0,0399156
746,0000;0,0401668
745,0000;0,0404384
744,0000;0,0407461
743,0000;0,0410802
742,0000;0,0414612
741,0000;0,0418967
740,0000;0,0424951
739,0000;0,0431141
738,0000;0,0439038
737,0000;0,0449198
736,0000;0,0462689
735,0000;0,0480668
734,0000;0,050442
733,0000;0,0534547
732,0000;0,0570206
731,0000;0,0607512
730,0000;0,0639286
729,0000;0,0656177
728,0000;0,0651599
727,0000;0,0626532
726,0000;0,0589338
725,0000;0,0551756
724,0000;0,0520251
723,0000;0,049612
722,0000;0,0478986
721,0000;0,0467778
720,0000;0,046136
719,0000;0,0457579
718,0000;0,0454492
717,0000;0,0451605
716,0000;0,0449008
715,0000;0,0446751
714,0000;0,0444766
713,0000;0,0442998
712,0000;0,0441432
711,0000;0,0440211
710,0000;0,0439157
709,0000;0,0438322
708,0000;0,0437656
707,0000;0,0437116
706,0000;0,043672
705,0000;0,043647
704,0000;0,0436276
703,0000;0,0436254
702,0000;0,0436317
701,0000;0,0436484
700,0000;0,0436731
699,0000;0,0437082
698,0000;0,0437465
697,0000;0,0437969
696,0000;0,0438488
695,0000;0,0439042
694,0000;0,0439694
693,0000;0,0440409
692,0000;0,0441145
691,0000;0,0441942
690,0000;0,0442784
