TITLE;
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/06/09
TIME;12:58:19
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  300,0000
NPOINTS;     501
FIRSTY;     0,19031
MAXY;     0,37415
MINY;     0,19031
XYDATA
800,0000;0,190306
799,0000;0,19054
798,0000;0,190794
797,0000;0,191044
796,0000;0,191282
795,0000;0,191523
794,0000;0,191782
793,0000;0,192045
792,0000;0,192302
791,0000;0,192558
790,0000;0,192822
789,0000;0,193091
788,0000;0,193356
787,0000;0,19362
786,0000;0,19388
785,0000;0,194133
784,0000;0,194388
783,0000;0,194641
782,0000;0,194903
781,0000;0,195156
780,0000;0,195405
779,0000;0,19566
778,0000;0,195919
777,0000;0,19617
776,0000;0,196417
775,0000;0,196667
774,0000;0,196919
773,0000;0,197161
772,0000;0,197405
771,0000;0,197648
770,0000;0,19788
769,0000;0,198113
768,0000;0,198354
767,0000;0,19858
766,0000;0,198799
765,0000;0,19903
764,0000;0,199251
763,0000;0,199468
762,0000;0,199697
761,0000;0,199934
760,0000;0,20016
759,0000;0,200397
758,0000;0,200637
757,0000;0,200865
756,0000;0,201112
755,0000;0,201346
754,0000;0,201574
753,0000;0,201823
752,0000;0,202073
751,0000;0,202333
750,0000;0,2026
749,0000;0,202872
748,0000;0,203164
747,0000;0,203472
746,0000;0,203789
745,0000;0,204135
744,0000;0,204505
743,0000;0,204908
742,0000;0,205359
741,0000;0,205859
740,0000;0,20653
739,0000;0,207234
738,0000;0,208096
737,0000;0,209184
736,0000;0,210604
735,0000;0,212478
734,0000;0,214933
733,0000;0,218028
732,0000;0,221671
731,0000;0,2255
730,0000;0,228772
729,0000;0,230568
728,0000;0,230198
727,0000;0,227778
726,0000;0,224131
725,0000;0,220448
724,0000;0,217379
723,0000;0,21503
722,0000;0,2134
721,0000;0,212349
720,0000;0,211792
719,0000;0,211495
718,0000;0,211265
717,0000;0,211064
716,0000;0,210887
715,0000;0,210742
714,0000;0,210625
713,0000;0,210532
712,0000;0,210464
711,0000;0,210423
710,0000;0,210397
709,0000;0,210394
708,0000;0,210418
707,0000;0,210452
706,0000;0,210502
705,0000;0,210563
704,0000;0,210642
703,0000;0,21073
702,0000;0,210821
701,0000;0,210926
700,0000;0,211041
699,0000;0,211163
698,0000;0,211292
697,0000;0,21143
696,0000;0,211569
695,0000;0,211713
694,0000;0,211865
693,0000;0,212023
692,0000;0,212186
691,0000;0,21235
690,0000;0,21252
689,0000;0,212704
688,0000;0,212888
687,0000;0,213077
686,0000;0,213273
685,0000;0,213475
684,0000;0,213676
683,0000;0,213871
682,0000;0,21407
681,0000;0,214272
680,0000;0,21448
679,0000;0,214693
