TITLE;
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/06/08
TIME;15:47:34
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  300,0000
NPOINTS;     501
FIRSTY;     0,04700
MAXY;     0,57129
MINY;     0,04700
XYDATA
800,0000;0,0469979
799,0000;0,0471895
798,0000;0,0473902
797,0000;0,0475852
796,0000;0,0477803
795,0000;0,0479738
794,0000;0,0481794
793,0000;0,0483944
792,0000;0,0486024
791,0000;0,0488109
790,0000;0,0490245
789,0000;0,0492489
788,0000;0,0494719
787,0000;0,0496922
786,0000;0,0499122
785,0000;0,0501306
784,0000;0,0503498
783,0000;0,0505593
782,0000;0,0507696
781,0000;0,0509782
780,0000;0,0511866
779,0000;0,0513947
778,0000;0,0516043
777,0000;0,0518089
776,0000;0,0520118
775,0000;0,0522211
774,0000;0,0524211
773,0000;0,0526138
772,0000;0,0528077
771,0000;0,0530046
770,0000;0,0531951
769,0000;0,0533828
768,0000;0,053573
767,0000;0,0537583
766,0000;0,053939
765,0000;0,0541238
764,0000;0,0543026
763,0000;0,0544639
762,0000;0,0546313
761,0000;0,054805
760,0000;0,0549606
759,0000;0,0551125
758,0000;0,0552666
757,0000;0,0554108
756,0000;0,0555503
755,0000;0,0556951
754,0000;0,0558245
753,0000;0,0559692
752,0000;0,0561194
751,0000;0,056265
750,0000;0,0564329
749,0000;0,0566024
748,0000;0,0567749
747,0000;0,0569731
746,0000;0,0571796
745,0000;0,0574089
744,0000;0,0576669
743,0000;0,0579515
742,0000;0,05829
741,0000;0,0586843
740,0000;0,0592125
739,0000;0,0597928
738,0000;0,060535
737,0000;0,0615096
736,0000;0,0628143
735,0000;0,0645616
734,0000;0,0668736
733,0000;0,0698206
732,0000;0,0733105
731,0000;0,0769856
730,0000;0,0801399
729,0000;0,0818727
728,0000;0,0815101
727,0000;0,0791325
726,0000;0,0755545
725,0000;0,0719117
724,0000;0,0688615
723,0000;0,0665406
722,0000;0,0649287
721,0000;0,0639141
720,0000;0,0633807
719,0000;0,0631187
718,0000;0,0629242
717,0000;0,0627391
716,0000;0,062553
715,0000;0,0623745
714,0000;0,0621997
713,0000;0,0620257
712,0000;0,0618536
711,0000;0,0616942
710,0000;0,0615542
709,0000;0,0614309
708,0000;0,0613229
707,0000;0,0612403
706,0000;0,0611763
705,0000;0,0611339
704,0000;0,0611027
703,0000;0,0610879
702,0000;0,0610884
701,0000;0,0611009
700,0000;0,0611258
699,0000;0,0611667
698,0000;0,0612095
697,0000;0,0612632
696,0000;0,0613205
695,0000;0,0613936
694,0000;0,0614662
693,0000;0,0615475
692,0000;0,0616316
691,0000;0,0617292
690,0000;0,0618316
